"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","last.obs","yr.end","gdd.start","type","climatetype","id_year_type","gdd_bb","gdd_dvr","fs.count","gdd_lo","utah"
"87762",52.544676,13.407079,"Tilia","americana",2016,111,115,290,366,46,"Treespotters","weldhill","87762;2016;weldhill",396.095553359684,67.224347826087,0,454.007727272727,2045.5
"87762",52.544676,13.407079,"Tilia","americana",2017,101,107,301,365,46,"Treespotters","weldhill","87762;2017;weldhill",261.100434782609,108.491304347826,0,349.632608695652,1221
"87762",52.544676,13.407079,"Tilia","americana",2018,117,122,234,365,46,"Treespotters","weldhill","87762;2018;weldhill",351.141877470356,80.2830434782609,0,421.078833992095,20.5
"87762",52.544676,13.407079,"Tilia","americana",2019,109,111,243,365,46,"Treespotters","weldhill","87762;2019;weldhill",295.035,54.6269565217391,0,329.831956521739,583
"87763",40.029163,-75.174784,"Tilia","americana",2016,105,115,281,366,46,"Treespotters","weldhill","87763;2016;weldhill",340.98337944664,118.385652173913,0,454.007727272727,2261.5
"87763",40.029163,-75.174784,"Tilia","americana",2017,106,107,234,365,46,"Treespotters","weldhill","87763;2017;weldhill",330.856086956522,41.4334782608696,0,349.632608695652,1221
"87763",40.029163,-75.174784,"Tilia","americana",2018,118,122,227,365,46,"Treespotters","weldhill","87763;2018;weldhill",366.747529644269,69.9369565217391,0,421.078833992095,-138.5
"87763",40.029163,-75.174784,"Tilia","americana",2019,111,111,244,365,46,"Treespotters","weldhill","87763;2019;weldhill",329.831956521739,16.2017391304348,0,329.831956521739,603
"86290",40.741813,-85.170682,"Tilia","americana",2016,111,115,281,366,46,"Treespotters","weldhill","86290;2016;weldhill",396.095553359684,67.224347826087,0,454.007727272727,2261.5
"86290",40.741813,-85.170682,"Tilia","americana",2017,107,113,234,365,46,"Treespotters","weldhill","86290;2017;weldhill",349.632608695652,66.4252173913043,0,397.281304347826,1221
"86290",40.741813,-85.170682,"Tilia","americana",2018,118,121,243,365,46,"Treespotters","weldhill","86290;2018;weldhill",366.747529644269,45.9660869565217,0,397.107964426877,144
"86290",40.741813,-85.170682,"Tilia","americana",2019,109,114,244,365,46,"Treespotters","weldhill","86290;2019;weldhill",295.035,88.3382608695652,0,363.543260869565,603
"135911",NA,NA,"Fagus","grandifolia",2017,109,113,256,365,46,"Treespotters","weldhill","135911;2017;weldhill",364.123913043478,40.0739130434783,0,397.281304347826,1221
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2016,109,114,281,366,46,"Treespotters","weldhill","85759;2016;weldhill",377.608596837945,78.1004347826087,0,444.821640316206,2261.5
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,251,365,46,"Treespotters","weldhill","85759;2017;weldhill",274.954347826087,183.544782608696,0,444.645217391304,1221
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters","weldhill","85759;2018;weldhill",366.747529644269,69.9369565217391,0,421.078833992095,573.5
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,114,265,365,46,"Treespotters","weldhill","85759;2019;weldhill",266.564565217391,106.915217391304,0,363.543260869565,977.5
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2016,112,119,284,366,46,"Treespotters","weldhill","85761;2016;weldhill",411.357727272727,91.9234782608696,0,488.019031620553,2189.5
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,118,242,365,46,"Treespotters","weldhill","85761;2017;weldhill",274.954347826087,203.412608695652,0,464.513043478261,1221
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,123,277,365,46,"Treespotters","weldhill","85761;2018;weldhill",313.551007905138,143.782173913043,0,444.858833992095,573.5
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,122,264,365,46,"Treespotters","weldhill","85761;2019;weldhill",266.564565217391,175.93,0,432.558043478261,962
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2016,102,114,281,366,46,"Treespotters","weldhill","85762;2016;weldhill",318.409466403162,136.822608695652,0,444.821640316206,2261.5
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,242,365,46,"Treespotters","weldhill","85762;2017;weldhill",274.954347826087,183.544782608696,0,444.645217391304,1221
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,122,277,365,46,"Treespotters","weldhill","85762;2018;weldhill",313.551007905138,120.002173913043,0,421.078833992095,573.5
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,110,265,365,46,"Treespotters","weldhill","85762;2019;weldhill",266.564565217391,57.0021739130435,0,313.630217391304,977.5
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2016,110,121,289,366,46,"Treespotters","weldhill","85763;2016;weldhill",386.78337944664,128.744347826087,0,506.352944664032,2069.5
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,288,365,46,"Treespotters","weldhill","85763;2017;weldhill",274.954347826087,183.544782608696,0,444.645217391304,1221
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters","weldhill","85763;2018;weldhill",366.747529644269,69.9369565217391,0,421.078833992095,573.5
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2019,112,122,265,365,46,"Treespotters","weldhill","85763;2019;weldhill",341.490217391304,102.726086956522,0,432.558043478261,977.5
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2016,102,114,260,366,46,"Treespotters","weldhill","85764;2016;weldhill",318.409466403162,136.822608695652,0,444.821640316206,2765.5
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2017,102,117,253,365,46,"Treespotters","weldhill","85764;2017;weldhill",274.954347826087,183.544782608696,0,444.645217391304,1221
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2018,114,121,277,365,46,"Treespotters","weldhill","85764;2018;weldhill",313.551007905138,96.0313043478261,0,397.107964426877,573.5
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2019,106,110,261,365,46,"Treespotters","weldhill","85764;2019;weldhill",256.628043478261,66.4717391304348,0,313.630217391304,919.5
"86258",42.307153,-71.120872,"Betula","nigra",2016,114,132,281,366,46,"Treespotters","weldhill","86258;2016;weldhill",444.821640316206,188.386956521739,0,618.859031620553,2261.5
"86258",42.307153,-71.120872,"Betula","nigra",2017,100,118,241,365,46,"Treespotters","weldhill","86258;2017;weldhill",241.141304347826,240.030869565217,0,464.513043478261,1221
"86258",42.307153,-71.120872,"Betula","nigra",2018,125,125,294,365,46,"Treespotters","weldhill","86258;2018;weldhill",487.634920948617,19.0378260869565,0,487.634920948617,701
"86258",42.307153,-71.120872,"Betula","nigra",2019,112,126,265,365,46,"Treespotters","weldhill","86258;2019;weldhill",341.490217391304,143.240434782609,0,473.072391304348,977.5
"86259",40.063779,90.741031,"Betula","nigra",2016,111,127,260,366,46,"Treespotters","weldhill","86259;2016;weldhill",396.095553359684,168.256086956522,0,555.039466403162,2765.5
