"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","last.obs","yr.end","gdd.start","type","climatetype","id_year_type","gdd_bb","gdd_dvr","fs.count","gdd_lo","utah"
"87762",52.544676,13.407079,"Tilia","americana",2018,117,122,234,365,46,"Treespotters","arb2","87762;2018;arb2",NA,NA,NA,NA,3540
"87762",52.544676,13.407079,"Tilia","americana",2019,109,111,243,365,46,"Treespotters","arb2","87762;2019;arb2",394.686190217391,60.2905923913043,0,433.009570652174,1864
"87763",40.029163,-75.174784,"Tilia","americana",2018,118,122,227,365,46,"Treespotters","arb2","87763;2018;arb2",NA,NA,NA,NA,3708
"87763",40.029163,-75.174784,"Tilia","americana",2019,111,111,244,365,46,"Treespotters","arb2","87763;2019;arb2",433.009570652174,18.1629510869565,0,433.009570652174,1840
"86290",40.741813,-85.170682,"Tilia","americana",2018,118,121,243,365,46,"Treespotters","arb2","86290;2018;arb2",NA,NA,NA,NA,2952
"86290",40.741813,-85.170682,"Tilia","americana",2019,109,114,244,365,46,"Treespotters","arb2","86290;2019;arb2",394.686190217391,100.350967391304,0,473.069945652174,1840
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters","arb7","85759;2018;arb7",NA,NA,NA,NA,2508
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,114,265,365,46,"Treespotters","arb7","85759;2019;arb7",370.918576086957,121.081239130435,0,479.125616847826,1336
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,123,277,365,46,"Treespotters","arb7","85761;2018;arb7",NA,NA,NA,NA,2508
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,122,264,365,46,"Treespotters","arb7","85761;2019;arb7",370.918576086957,206.821434782609,0,564.8658125,1360
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,122,277,365,46,"Treespotters","arb7","85762;2018;arb7",NA,NA,NA,NA,2508
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,110,265,365,46,"Treespotters","arb7","85762;2019;arb7",370.918576086957,63.8778369565217,0,421.922214673913,1336
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters","arb7","85763;2018;arb7",NA,NA,NA,NA,2508
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2019,112,122,265,365,46,"Treespotters","arb7","85763;2019;arb7",453.05995923913,125.202921195652,0,564.8658125,1336
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2018,114,121,277,365,46,"Treespotters","arb7","85764;2018;arb7",NA,NA,NA,NA,2508
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2019,106,110,261,365,46,"Treespotters","arb7","85764;2019;arb7",358.044377717391,76.3412961956522,0,421.922214673913,1432
"86258",42.307153,-71.120872,"Betula","nigra",2018,125,125,294,365,46,"Treespotters","arb7","86258;2018;arb7",NA,NA,NA,NA,2100
"86258",42.307153,-71.120872,"Betula","nigra",2019,112,126,265,365,46,"Treespotters","arb7","86258;2019;arb7",453.05995923913,172.890758152174,0,612.553649456522,1336
"86259",40.063779,90.741031,"Betula","nigra",2018,118,125,243,365,46,"Treespotters","arb7","86259;2018;arb7",NA,NA,NA,NA,3324
"86259",40.063779,90.741031,"Betula","nigra",2019,107,122,214,365,46,"Treespotters","arb7","86259;2019;arb7",370.918576086957,206.821434782609,0,564.8658125,2560
