"species","gdd","urban","method"
1,441.346588655152,0,0
1,444.025121309172,1,0
1,338.342188621004,1,1
1,435.391968637357,0,1
1,415.569764271236,0,1
1,497.128277923809,0,0
1,489.253165121305,0,0
1,374.181228672014,0,1
1,433.443260654758,0,1
1,433.672688968752,1,0
1,421.957658820469,1,0
1,384.488662422472,0,1
1,435.433466313039,1,0
1,365.91939947761,1,1
1,470.313847443889,0,0
1,356.196572938585,1,1
1,383.20347856639,0,1
1,475.006015750135,0,0
1,475.883789709923,0,0
1,311.029404108762,1,1
1,401.556982046642,1,0
1,389.5385355619,0,1
1,397.465898442445,0,1
1,379.709059493207,0,1
1,442.830950545288,1,0
1,374.78876143886,0,1
1,408.8061490266,1,0
1,373.470944976031,1,1
1,436.245954963389,1,0
1,470.952922277509,0,0
1,471.877529280966,0,0
1,400.575094792597,0,1
1,421.904265755622,1,0
1,360.401907335573,1,1
1,368.427101297146,1,1
1,470.200907891105,1,0
1,474.778668193559,0,0
1,370.868875923638,1,1
1,476.276334603907,0,0
1,400.56683078763,0,1
1,376.894241066458,1,1
1,472.851975109465,0,0
1,426.516539886724,1,0
1,457.188467784422,0,0
1,498.295747377648,0,0
1,479.24426501088,0,0
1,453.87960165962,0,0
1,464.937813875525,0,0
1,393.506121002187,0,1
1,430.167934972763,1,0
1,469.354967020455,0,0
1,425.947979300987,1,0
1,416.011579839713,0,1
1,407.777920959825,1,1
1,483.744778173871,0,0
1,391.164496900429,1,1
1,399.392060817086,0,1
1,454.841055883944,0,0
1,400.260459976665,1,1
1,383.108610303914,0,1
1,419.703690110237,1,0
1,472.791859143158,0,0
1,415.590402373372,0,1
1,455.56787138038,1,0
1,452.862686402395,0,0
1,427.57895614179,1,0
1,416.465997161543,0,1
1,446.666900954705,0,1
1,429.893033418007,0,1
1,426.730494744732,1,0
1,350.712317108803,1,1
1,343.032213794873,1,1
1,373.321951757909,1,1
1,343.948807509713,0,1
1,496.267721719259,0,0
1,364.270134727668,0,1
1,399.09249887577,0,1
1,402.999014940609,0,1
1,470.867505905437,0,0
1,402.762205114032,0,1
1,361.684102104769,1,1
1,431.834397269196,1,0
1,430.116455795327,1,0
1,393.078276590716,1,0
1,415.682949706633,0,1
1,391.349080278297,0,1
1,446.715853013528,0,0
1,403.742823395177,0,1
1,388.077740129097,1,1
1,368.269607678696,1,1
1,378.156675878791,1,1
1,475.294075153233,0,0
1,370.666466030524,1,1
1,385.850966349238,1,1
1,372.644392412527,1,1
1,414.234370009356,1,1
1,387.923664911427,0,1
1,444.17959452555,0,0
1,451.566586949367,0,0
1,359.882783971117,1,1
1,461.346634061699,0,0
1,391.552792366758,1,1
1,450.504581778968,0,0
1,505.014565640636,0,0
1,394.490582008256,1,1
1,387.037855822651,1,1
1,422.900812225318,1,0
1,399.807296123492,1,1
1,443.69843168171,1,0
1,383.920881558267,1,1
1,422.368331562584,0,1
1,423.421391537371,1,0
1,488.231869718297,0,0
1,435.958390242045,0,0
1,390.592715232346,0,1
1,412.587768966866,1,1
1,447.645906246429,0,0
1,373.597841422824,1,1
1,427.305985511525,0,1
1,476.07720883157,0,0
1,424.82477631836,1,0
1,436.033539147082,1,1
1,389.700027311724,0,1
1,473.069459042287,0,0
1,345.964247740606,1,1
1,437.485058068789,1,0
1,417.610413869699,1,0
1,390.57881225051,1,0
1,356.251185332039,1,1
1,375.882748881238,1,1
1,479.260136431783,0,0
1,433.559121987469,1,0
1,484.788745233292,0,0
1,362.834654946132,1,1
1,445.33591081778,1,0
1,497.164340927452,0,0
1,385.163167969102,0,1
1,358.603284725982,1,1
1,410.696727035951,1,1
1,381.038276136925,1,1
1,457.280994917045,1,0
1,460.463609583177,0,0
1,366.531026234765,1,1
1,368.694504775771,1,1
1,414.613879692803,1,1
1,339.701097053482,1,1
1,495.267808432528,0,0
1,415.033443375464,1,0
1,423.500951951852,0,1
1,359.626802718596,1,1
1,408.306425102866,1,1
1,417.105660624433,1,0
1,364.875966307791,1,1
1,435.272754177066,1,0
1,475.051827348747,0,0
1,420.195750929357,1,0
1,475.702954360822,0,0
1,389.622894539961,1,1
1,465.147598799289,0,0
1,495.85608714769,0,0
1,355.365057136113,1,1
1,426.629571593291,0,1
1,397.892529553164,1,1
1,383.597724501548,0,1
1,385.006730504349,0,1
1,410.406300475368,1,0
1,350.757651118777,1,1
1,392.901232836208,0,1
1,419.103079162571,0,1
1,490.694734024158,0,0
1,477.608301835668,0,0
1,425.542579536162,1,1
1,426.334607967735,1,0
1,419.68581174237,0,1
1,429.030519217478,0,0
1,509.555748272052,0,0
1,405.159031613376,0,1
1,478.798894541762,0,0
1,446.154139475068,0,0
1,412.242581059561,1,1
1,385.898620892614,0,1
1,412.223523367534,0,1
1,376.363263422512,1,1
1,394.098713152766,1,1
1,442.418611779199,1,0
1,406.918101337549,0,1
1,371.846775437099,1,1
1,448.675401304009,0,0
1,394.844228816693,1,1
1,378.042860468302,1,1
1,474.057676052057,0,0
1,469.380670570955,0,0
1,370.120068629832,1,1
1,470.843239919419,0,0
1,497.943265886633,0,0
1,351.306806925536,1,1
1,425.715818294006,1,0
1,402.741274737501,0,1
1,415.57514597031,1,0
1,484.689845322742,0,0
2,462.954743802946,0,0
2,324.695578058172,0,1
2,453.463289312992,0,0
2,458.810976885878,0,0
2,298.721858595848,1,1
2,291.330573917148,1,1
2,464.017706348633,0,0
2,336.082401263742,0,1
2,277.227478407852,1,1
2,460.422457295187,0,0
2,384.53985134611,1,0
2,376.682870009999,1,0
2,267.84025760049,1,1
2,280.436140835258,1,1
2,422.609977110622,1,0
2,440.404275559642,0,0
2,403.264470915031,1,0
2,455.938074398792,0,0
2,477.715016272908,0,0
2,289.400835446771,1,1
2,484.232985288024,0,0
