"yrs","gdd","bb"
1,300.766618556402,25
2,310.585007185454,24
3,302.422233725566,26
4,310.809969936132,25
5,301.629078666807,27
6,304.740628481358,29
7,309.730266442407,25
8,310.792538209871,26
9,300.244959728829,27
10,317.433375888198,27
11,303.843234894289,25
12,300.017967396114,22
13,300.988551961638,24
14,310.625618554341,28
15,305.658606130015,24
16,310.047519153605,27
17,303.932524710702,27
18,300.5342615501,25
19,301.537561372634,26
20,301.022976366343,25
21,305.080848640544,26
22,304.711860311594,24
23,301.666195337822,27
24,300.974360199858,26
25,307.018828806009,25
26,310.479496496786,27
27,304.078907521857,28
28,314.399741986957,26
29,308.680960891232,25
30,303.638831312964,25
31,302.401265735306,24
32,313.00501173808,28
33,305.968737446276,25
34,306.550321407705,24
35,302.373201460283,27
36,307.167053724838,25
37,311.003906992993,24
38,305.036215359901,24
39,311.315543231245,26
40,309.882340814649,26
41,303.47042858805,26
42,310.956545697889,26
43,312.05842044376,26
44,309.719684303529,24
45,308.812069531866,25
46,300.891356286774,25
47,305.671709050279,26
48,307.492018913603,25
49,303.728003931869,25
50,310.79552567268,25
51,308.506749665824,25
52,307.463275896463,26
53,300.195668655952,24
54,306.442158446247,26
55,304.781901605874,24
56,309.385841331506,26
57,308.726770911003,26
58,304.922613223908,26
59,300.191849940951,23
60,305.831268812333,26
61,309.461080200316,26
62,302.770842689804,25
63,306.113561082646,24
64,305.327110826653,24
65,305.408754715057,24
66,302.297279481725,27
67,305.261150103826,27
68,302.818265462917,24
69,306.696140899699,24
70,301.407872040534,26
71,311.835522773356,25
72,309.643828944029,26
73,309.638513695884,27
74,311.794619707636,29
75,313.684775966352,24
76,301.540388940241,22
77,311.937006257663,23
78,301.719756658239,24
79,300.343475451326,24
80,309.263933705891,24
81,300.257289024695,25
82,301.344888607902,24
83,307.199729420052,25
84,311.767466423423,27
85,303.952449247927,26
86,304.727924293668,26
87,305.036351285238,26
88,302.262378018417,26
89,311.630896378659,26
90,309.120623252374,26
91,301.24084136162,23
92,306.697318836228,24
93,303.648618106397,25
94,308.938993916152,25
95,307.848715406652,25
96,307.399630032489,28
97,307.517603728518,25
98,304.405251441763,27
99,301.839520264662,24
100,311.046060395935,26
