"species","gdd","bb","ind"
"1",300.86,"25","1"
"2",327.05,"27","1"
"3",149.82,"14","1"
"4",371.45,"30","1"
"5",519.77,"47","1"
"6",336.73,"29","1"
"7",283.54,"24","1"
"8",336.83,"28","1"
"9",241.33,"20","1"
"10",319.15,"26","1"
"11",208.46,"17","1"
"12",321.03,"27","1"
"13",455.87,"39","1"
"14",387.34,"32","1"
"15",290.04,"27","1"
"16",178.69,"16","1"
"17",296.2,"25","1"
"18",288.5,"28","1"
"19",208.34,"17","1"
"20",275.15,"21","1"
"21",294.04,"25","1"
"22",246.9,"22","1"
"23",211.53,"20","1"
"24",253.22,"21","1"
"25",207.96,"17","1"
"26",354.24,"27","1"
"27",324.61,"27","1"
"28",385.33,"34","1"
"29",312.05,"25","1"
"30",239.46,"19","1"
"1",297.66,"24","2"
"2",324.32,"27","2"
"3",150.51,"13","2"
"4",363.83,"32","2"
"5",524.87,"43","2"
"6",330.97,"29","2"
"7",287.71,"23","2"
"8",338.75,"27","2"
"9",253.23,"21","2"
"10",327.08,"29","2"
"11",208.7,"15","2"
"12",322.9,"27","2"
"13",447.19,"40","2"
"14",391.22,"34","2"
"15",281.18,"24","2"
"16",181.22,"16","2"
"17",300.97,"26","2"
"18",286.46,"23","2"
"19",213.29,"18","2"
"20",279.6,"25","2"
"21",295.81,"26","2"
"22",244.16,"21","2"
"23",206.19,"16","2"
"24",254.95,"19","2"
"25",208.93,"18","2"
"26",360.6,"31","2"
"27",333.38,"25","2"
"28",388.75,"33","2"
"29",318.8,"25","2"
"30",237.59,"19","2"
"1",292.63,"26","3"
"2",327.28,"25","3"
"3",159.1,"14","3"
"4",366.13,"31","3"
"5",528.18,"42","3"
"6",328.32,"28","3"
"7",300.49,"25","3"
"8",342.66,"28","3"
"9",248.45,"22","3"
"10",328.5,"26","3"
"11",215.73,"19","3"
"12",327.85,"27","3"
"13",447.85,"37","3"
"14",385.69,"34","3"
"15",288.6,"25","3"
"16",174.39,"16","3"
"17",292.12,"23","3"
"18",289.5,"27","3"
"19",209.16,"17","3"
"20",275.24,"22","3"
"21",299.31,"24","3"
"22",246.6,"20","3"
"23",213.34,"18","3"
"24",251.26,"21","3"
"25",211.74,"16","3"
"26",351.54,"28","3"
"27",329.9,"26","3"
"28",395.76,"32","3"
"29",322.71,"26","3"
"30",243.42,"19","3"
"1",298.96,"26","4"
"2",330.71,"28","4"
"3",149.44,"13","4"
"4",372.73,"30","4"
"5",523.51,"43","4"
"6",328.62,"28","4"
"7",292.35,"24","4"
"8",336.26,"28","4"
"9",242.31,"22","4"
"10",324.4,"24","4"
"11",204.82,"16","4"
"12",326.06,"27","4"
"13",445.49,"37","4"
"14",391.63,"34","4"
"15",283.53,"25","4"
"16",183.44,"15","4"
"17",297.7,"26","4"
"18",291.79,"26","4"
"19",204.32,"17","4"
"20",289.55,"22","4"
"21",295.14,"25","4"
"22",244.29,"18","4"
"23",209.49,"17","4"
"24",259.8,"21","4"
"25",206.97,"18","4"
"26",359.07,"30","4"
"27",324.53,"27","4"
"28",392.69,"30","4"
"29",310.43,"27","4"
"30",251.47,"21","4"
"1",299.64,"24","5"
"2",323.92,"27","5"
"3",148.17,"14","5"
"4",363.93,"31","5"
"5",525.7,"41","5"
"6",327.81,"27","5"
"7",287.45,"24","5"
"8",332.54,"28","5"
"9",242.19,"21","5"
"10",324.53,"27","5"
"11",210.91,"17","5"
"12",323.95,"27","5"
"13",447.99,"37","5"
"14",395.01,"33","5"
"15",284.4,"26","5"
"16",180.36,"14","5"
"17",294.54,"24","5"
"18",284.3,"25","5"
"19",208.88,"17","5"
"20",281.67,"24","5"
"21",305.27,"24","5"
"22",249.91,"21","5"
"23",215.93,"20","5"
"24",256.57,"21","5"
"25",209.93,"17","5"
"26",357.98,"32","5"
"27",324.1,"28","5"
"28",395.55,"34","5"
"29",311.69,"24","5"
"30",243.37,"19","5"
"1",301.4,"27","6"
"2",324.79,"25","6"
"3",151.86,"13","6"
"4",362.87,"30","6"
"5",526.46,"44","6"
"6",334.62,"28","6"
"7",289.97,"25","6"
"8",337.12,"27","6"
"9",252.44,"21","6"
"10",328.06,"26","6"
"11",205.76,"16","6"
"12",318.45,"25","6"
"13",452.98,"38","6"
"14",390.14,"31","6"
"15",282.42,"26","6"
"16",188.15,"15","6"
"17",294.38,"26","6"
"18",287.48,"24","6"
"19",206.36,"16","6"
"20",291.21,"22","6"
"21",299.56,"24","6"
"22",250.57,"22","6"
"23",208.21,"16","6"
"24",252.1,"21","6"
"25",209.53,"18","6"
"26",357.93,"31","6"
"27",332.49,"29","6"
"28",393.97,"30","6"
"29",310.71,"24","6"
"30",238.24,"19","6"
"1",292.06,"25","7"
"2",329.34,"27","7"
"3",156.39,"12","7"
"4",368.6,"34","7"
"5",518.14,"46","7"
"6",327.49,"25","7"
"7",285.79,"23","7"
"8",333.03,"27","7"
"9",241.34,"20","7"
"10",325.11,"25","7"
"11",206.21,"18","7"
"12",327.5,"27","7"
"13",448.54,"42","7"
"14",397.51,"34","7"
"15",291.65,"24","7"
"16",184.02,"14","7"
"17",305.63,"25","7"
"18",291.99,"26","7"
"19",205.22,"16","7"
"20",276.37,"23","7"
"21",301.7,"26","7"
"22",247.5,"23","7"
"23",210.63,"16","7"
"24",257.43,"21","7"
"25",206.93,"15","7"
"26",350.09,"30","7"
"27",328.23,"26","7"
"28",384.21,"33","7"
"29",311.6,"26","7"
"30",246.11,"19","7"
"1",302.25,"25","8"
"2",326.66,"28","8"
"3",153,"13","8"
"4",363.51,"31","8"
"5",522.82,"42","8"
"6",336.84,"27","8"
"7",289.84,"26","8"
"8",334.4,"29","8"
"9",242.23,"21","8"
"10",320.36,"27","8"
"11",213.22,"16","8"
"12",326.36,"28","8"
"13",450.35,"37","8"
"14",389.8,"31","8"
"15",287.46,"26","8"
"16",180.24,"15","8"
"17",301.02,"27","8"
"18",286.14,"23","8"
"19",202.63,"16","8"
"20",280.06,"25","8"
"21",307.28,"25","8"
"22",251.6,"21","8"
"23",205.84,"18","8"
"24",257.62,"22","8"
"25",214.73,"17","8"
"26",354.69,"31","8"
"27",334.55,"26","8"
"28",391.19,"35","8"
"29",317.18,"28","8"
"30",239.29,"20","8"
"1",302.61,"22","9"
"2",333.09,"26","9"
"3",157.86,"12","9"
"4",364.03,"28","9"
"5",524.25,"42","9"
"6",336.75,"27","9"
"7",290.97,"25","9"
"8",338.42,"28","9"
"9",243.44,"22","9"
"10",321.26,"25","9"
"11",210.98,"19","9"
"12",334.63,"28","9"
"13",448.73,"41","9"
"14",388.51,"32","9"
"15",289.79,"23","9"
"16",185.56,"16","9"
"17",299.66,"25","9"
"18",283.99,"24","9"
"19",208.47,"17","9"
"20",275.45,"24","9"
"21",296.3,"25","9"
"22",245.49,"21","9"
"23",213.96,"18","9"
"24",264.33,"22","9"
"25",212.51,"18","9"
"26",352.29,"28","9"
"27",325.81,"26","9"
"28",395.36,"34","9"
"29",311.35,"24","9"
"30",240.78,"20","9"
"1",296.35,"25","10"
"2",324.39,"26","10"
"3",148.96,"15","10"
"4",373.17,"31","10"
"5",530.35,"46","10"
"6",334.93,"27","10"
"7",287.36,"24","10"
"8",332.87,"27","10"
"9",245.95,"21","10"
"10",322.51,"27","10"
"11",207.23,"17","10"
"12",318.07,"26","10"
"13",447.34,"39","10"
"14",389.96,"33","10"
"15",290.94,"27","10"
"16",181.97,"15","10"
"17",305.85,"25","10"
"18",284.22,"23","10"
"19",204.23,"17","10"
"20",281.98,"25","10"
"21",302.23,"24","10"
"22",245.41,"19","10"
"23",209.08,"20","10"
"24",261.63,"23","10"
"25",210.03,"17","10"
"26",351.79,"28","10"
"27",329.88,"27","10"
"28",384.67,"32","10"
"29",311.66,"25","10"
"30",243.2,"21","10"
