"yrs","gdd","bb"
1,336.611199652964,29
2,337.876868201554,27
3,467.0614942398,39
4,430.55435209615,37
5,440.747690617794,35
6,377.297823233274,33
7,352.336486530878,31
8,318.525939721209,29
9,341.555019628846,27
10,318.10921409124,25
11,306.439948232296,23
12,399.978717314533,35
13,368.591882581023,33
14,396.424676136066,31
15,373.594416872896,29
16,311.397760636372,27
17,313.883645846583,25
18,438.455219412133,37
19,435.409639135296,35
20,383.152412155089,33
21,353.235093720036,31
22,332.166758438951,29
23,322.633598967992,27
24,472.000374258858,39
25,459.606764652972,37
26,415.492958357528,35
27,374.019734171568,33
28,371.978031651909,31
29,355.291428387017,29
30,444.895755928165,41
31,313.326930904173,25
32,431.490260424398,37
33,445.967847194759,35
34,385.266194622366,33
35,354.908160039846,31
36,355.20141436246,29
37,304.875956956161,27
38,308.471333592802,25
39,454.085930819098,37
40,434.397677456066,35
41,390.339134041604,33
42,377.012068207895,31
43,350.130435248509,29
44,303.590440958208,27
45,447.174805034542,39
46,450.647494659027,37
47,416.386545235665,35
48,397.422025882075,33
49,381.2869958931,31
50,364.623891826359,29
51,313.996432414075,27
52,443.492383992649,39
53,452.158366285618,37
54,398.788211494652,35
55,360.834759183436,33
56,359.860650792647,31
57,340.907823218804,29
58,359.741901245548,27
59,317.477189839861,25
60,422.341323588017,37
61,406.107329935903,35
62,396.211119140714,33
63,332.337900745898,31
64,359.983815461533,29
65,356.917339750206,27
66,468.71137622349,39
67,453.767038792318,37
68,462.968559635318,35
69,400.97687799142,33
70,386.855423835988,31
71,347.439241445975,29
72,329.519435547203,27
73,451.124667332596,39
74,458.459072033198,37
75,439.187314104205,35
76,398.032688967666,33
77,360.923761220388,31
78,309.945155391292,29
79,336.999773235706,27
80,446.932583919247,39
81,457.38194860084,37
82,413.733494581173,35
83,398.016700772428,33
84,364.112346153994,31
85,324.809923589308,29
86,325.683900500739,27
87,306.095219974732,25
88,462.674773869134,37
89,455.154992204595,35
90,385.037177271086,33
91,374.467806046379,31
92,342.225651742301,29
93,464.937287210572,41
94,478.574885881613,39
95,305.922104937848,23
96,404.066868733526,35
97,376.070604580978,33
98,373.874732496331,31
99,336.308501806645,29
100,313.449647170025,27
