"yrs","gdd","bb"
1,335.366372770345,29
2,340.072874022739,27
3,300.701769362633,25
4,345.567663502293,30
5,342.63601499715,28
6,370.030400003953,33
7,331.284903113829,31
8,352.5842684482,29
9,305.282063780322,27
10,303.718905598993,25
11,348.216766228543,30
12,326.493893132342,28
13,314.806424903811,26
14,370.291436809544,31
15,328.058064558482,29
16,329.298195028352,27
17,310.316278410233,25
18,385.146652281934,30
19,314.000655179315,28
20,328.279293394508,26
21,378.71688330274,31
22,362.330890338112,29
23,326.636921461341,27
24,315.599812942342,25
25,351.630177602123,30
26,369.556923564961,28
27,318.597074099799,26
28,355.888533820492,31
29,343.555742952318,29
30,313.811821260457,27
31,385.287435833857,32
32,330.433262498082,30
33,324.624431444893,28
34,346.090413300057,33
35,372.93027129236,31
36,345.385262402462,29
37,311.37655371304,27
38,318.660053042855,25
39,359.355838493778,30
40,342.894953113041,28
41,305.456086222494,26
42,375.196292231687,31
43,345.256510276375,29
44,325.87330016454,27
45,366.792323052653,32
46,338.459726995058,30
47,339.406580920444,28
48,374.855850408291,33
49,346.044437000617,31
50,355.405328175985,29
51,334.642098068038,27
52,318.015635607304,25
53,335.424984196738,30
54,345.029799621603,28
55,318.509036214329,26
56,375.547420494563,31
57,335.753953341752,29
58,311.177671787213,27
59,368.412059584825,32
60,371.743928382127,30
61,338.763381000656,28
62,367.175480606765,33
63,383.695058111667,31
64,342.925149912642,29
65,311.531224649577,27
66,317.104652185202,25
67,344.493438452709,30
68,345.503343960112,28
69,306.599889612168,26
70,337.606886296998,31
71,341.565951948559,29
72,306.227403340329,27
73,390.252591447497,32
74,354.482841128733,30
75,349.496749105413,28
76,305.008214481061,26
77,386.472793928364,31
78,362.95427234688,29
79,324.720210132885,27
80,376.775950635395,32
81,377.529368633318,30
82,336.823543984038,28
83,307.743977092431,26
84,356.916370893319,31
85,342.965959426262,29
86,395.584954702338,34
87,379.035489655763,32
88,357.538486375066,30
89,340.639022404458,28
90,311.887975520105,26
91,360.185482508579,31
92,337.321952773454,29
93,327.039960226647,27
94,302.684048045566,25
95,381.539747535056,30
96,345.395611058284,28
97,304.732440843105,26
98,346.697500550086,31
99,344.862334484281,29
100,345.138003635364,27
