"species","gdd","bb","ind"
"1",381.55,"31","1"
"2",263.25,"21","1"
"3",249.54,"21","1"
"4",480.34,"41","1"
"5",363.12,"31","1"
"6",341.19,"31","1"
"7",253.75,"21","1"
"8",358.03,"31","1"
"9",376.41,"31","1"
"10",390.41,"31","1"
"11",390.2,"31","1"
"12",381.91,"31","1"
"13",337.26,"31","1"
"14",363.84,"31","1"
"15",396.16,"31","1"
"16",486.14,"41","1"
"17",499.97,"41","1"
"18",356.62,"31","1"
"19",399.47,"31","1"
"20",377.57,"31","1"
"21",252.51,"21","1"
"22",371.53,"31","1"
"23",411.7,"31","1"
"24",389.79,"31","1"
"25",471.23,"41","1"
"26",378.64,"31","1"
"27",600.48,"51","1"
"28",488.79,"41","1"
"29",242.91,"21","1"
"30",280.11,"21","1"
"1",342.41,"31","2"
"2",231.49,"21","2"
"3",235.03,"21","2"
"4",464.3,"41","2"
"5",368.6,"31","2"
"6",260.79,"21","2"
"7",269.26,"21","2"
"8",402.89,"31","2"
"9",353.58,"31","2"
"10",392.75,"31","2"
"11",389.53,"31","2"
"12",380.91,"31","2"
"13",239.18,"21","2"
"14",391.49,"31","2"
"15",380.68,"31","2"
"16",503.56,"41","2"
"17",496.9,"41","2"
"18",441.13,"41","2"
"19",361.54,"31","2"
"20",373.71,"31","2"
"21",235.18,"21","2"
"22",380.08,"31","2"
"23",469.16,"41","2"
"24",388.16,"31","2"
"25",512.08,"41","2"
"26",385.58,"31","2"
"27",517.98,"41","2"
"28",381.39,"31","2"
"29",272.25,"21","2"
"30",342.74,"31","2"
"1",363.9,"31","3"
"2",243.63,"21","3"
"3",245.99,"21","3"
"4",506.7,"41","3"
"5",362.53,"31","3"
"6",238.53,"21","3"
"7",241.56,"21","3"
"8",376.32,"31","3"
"9",364.12,"31","3"
"10",505.96,"41","3"
"11",386.71,"31","3"
"12",390.11,"31","3"
"13",235.48,"21","3"
"14",383.85,"31","3"
"15",347.27,"31","3"
"16",512.22,"41","3"
"17",395.81,"31","3"
"18",366.77,"31","3"
"19",394.12,"31","3"
"20",378.27,"31","3"
"21",263.47,"21","3"
"22",377.64,"31","3"
"23",522.17,"41","3"
"24",386.23,"31","3"
"25",495.43,"41","3"
"26",361.36,"31","3"
"27",490.26,"41","3"
"28",371.38,"31","3"
"29",238.54,"21","3"
"30",256.7,"21","3"
"1",384.02,"31","4"
"2",263.97,"21","4"
"3",239.71,"21","4"
"4",505.22,"41","4"
"5",412.91,"31","4"
"6",249.64,"21","4"
"7",238.83,"21","4"
"8",383.74,"31","4"
"9",353.38,"31","4"
"10",391.79,"31","4"
"11",337.11,"31","4"
"12",385.2,"31","4"
"13",241.77,"21","4"
"14",371.3,"31","4"
"15",385.84,"31","4"
"16",498.04,"41","4"
"17",491.99,"41","4"
"18",367.68,"31","4"
"19",381.28,"31","4"
"20",371.21,"31","4"
"21",240.04,"21","4"
"22",377.66,"31","4"
"23",470.31,"41","4"
"24",342.58,"31","4"
"25",502,"41","4"
"26",387.87,"31","4"
"27",488.62,"41","4"
"28",385.54,"31","4"
"29",239.89,"21","4"
"30",341.6,"31","4"
"1",382.84,"31","5"
"2",251.98,"21","5"
"3",252.35,"21","5"
"4",499.12,"41","5"
"5",382.82,"31","5"
"6",265.01,"21","5"
"7",237.56,"21","5"
"8",395.95,"31","5"
"9",370.73,"31","5"
"10",509.6,"41","5"
"11",382.94,"31","5"
"12",353.57,"31","5"
"13",286.46,"21","5"
"14",377.38,"31","5"
"15",392.71,"31","5"
"16",485.32,"41","5"
"17",487.4,"41","5"
"18",351.59,"31","5"
"19",371.9,"31","5"
"20",344.84,"31","5"
"21",213.53,"21","5"
"22",349.6,"31","5"
"23",500.83,"41","5"
"24",384.68,"31","5"
"25",487.85,"41","5"
"26",444.77,"41","5"
"27",586.99,"51","5"
"28",507.85,"41","5"
"29",265.36,"21","5"
"30",252.59,"21","5"
"1",367.22,"31","6"
"2",250.69,"21","6"
"3",250.75,"21","6"
"4",473.08,"41","6"
"5",366.28,"31","6"
"6",254.05,"21","6"
"7",256.39,"21","6"
"8",375.92,"31","6"
"9",373.16,"31","6"
"10",399.56,"31","6"
"11",389.51,"31","6"
"12",364.54,"31","6"
"13",263.72,"21","6"
"14",383.96,"31","6"
"15",359.68,"31","6"
"16",428.71,"31","6"
"17",486.4,"41","6"
"18",377.02,"31","6"
"19",378.85,"31","6"
"20",363.5,"31","6"
"21",253.88,"21","6"
"22",374.38,"31","6"
"23",512,"41","6"
"24",274.6,"21","6"
"25",481.57,"41","6"
"26",362.68,"31","6"
"27",488.02,"41","6"
"28",487.83,"41","6"
"29",268.19,"21","6"
"30",260.1,"21","6"
"1",339.75,"31","7"
"2",238.4,"21","7"
"3",252.02,"21","7"
"4",497.9,"41","7"
"5",372.83,"31","7"
"6",243.24,"21","7"
"7",230.41,"21","7"
"8",370.05,"31","7"
"9",368.98,"31","7"
"10",495.6,"41","7"
"11",372.36,"31","7"
"12",397.46,"31","7"
"13",259.01,"21","7"
"14",392.95,"31","7"
"15",372.68,"31","7"
"16",466.66,"41","7"
"17",481.17,"41","7"
"18",407.62,"31","7"
"19",368.1,"31","7"
"20",268.41,"21","7"
"21",253.03,"21","7"
