"yrs","gdd","bb"
1,308.372479651772,25
2,335.505013237686,30
3,303.124384432464,26
4,342.972442138446,28
5,334.110217623404,27
6,302.858283434696,23
7,304.323171191487,25
8,314.558979261656,27
9,320.59863429062,26
10,306.990565580777,25
11,309.238156807821,27
12,328.934066840146,29
13,322.34247192487,28
14,325.583925545482,27
15,328.728432568373,23
16,334.491565224936,28
17,329.698258623103,27
18,325.17242708507,29
19,306.139034803241,25
20,327.130202398753,27
21,328.950901438668,26
22,332.149785544965,31
23,332.65720172591,27
24,323.561289476381,26
25,301.092319965948,25
26,319.465754068684,27
27,320.192957881312,26
28,302.106765715626,25
29,313.41615979447,27
30,331.780693465011,26
31,304.587203894796,25
32,319.281279316967,27
33,327.007223467174,26
34,307.73789597526,25
35,319.115055482765,27
36,334.025016991252,29
37,316.300005835575,28
38,325.024830494016,27
39,304.643026998861,26
40,329.003611655358,28
41,336.95027297819,30
42,332.844146801875,26
43,312.037541479211,28
44,335.567039282253,27
45,313.227695187338,26
46,317.000669392697,28
47,319.022363740984,27
48,301.314452623839,26
49,324.984671837069,25
50,322.722527114301,27
51,306.703432642338,26
52,322.761981284686,28
53,300.715026830236,24
54,322.362858695463,29
55,327.063476581604,28
56,321.04833612168,27
57,314.118541058419,26
58,335.070259209471,25
59,332.027241646856,27
60,325.21094939267,29
61,331.849522026824,28
62,329.56012012408,27
63,317.545981841822,29
64,307.179536231146,25
65,319.33628840236,27
66,312.671976013295,26
67,342.684409392133,28
68,326.142189661655,27
69,302.318758396699,26
70,329.199308918208,28
71,307.414978333339,27
72,315.091056811681,26
73,334.802755198167,28
74,336.294291750773,27
75,317.148321675788,26
76,333.817752276312,28
77,306.564162400913,27
78,300.238943680263,26
79,316.956252034586,28
80,333.961307054151,30
81,339.044230804323,29
82,305.7467383543,25
83,303.683921881529,27
84,300.499225045562,26
85,330.244875347862,28
86,302.952163419135,27
87,323.03323883059,26
88,331.792774145689,28
89,303.449637670947,24
90,311.780649547522,26
91,324.069679428916,28
92,326.510097513185,27
93,314.193769771467,26
94,333.865477450121,28
95,314.776164914473,27
96,303.792382873914,26
97,331.734339528065,28
98,314.198053167208,30
99,319.747639785381,26
100,321.30789315603,25
