"species","gdd","bb","ind"
"1",474.08,"36","1"
"2",424.75,"36","1"
"3",246.62,"22","1"
"4",335.46,"29","1"
"5",324.04,"29","1"
"6",350.55,"29","1"
"7",513.67,"43","1"
"8",391.19,"29","1"
"9",344.16,"29","1"
"10",368.18,"29","1"
"11",342.96,"29","1"
"12",448.59,"36","1"
"13",408.85,"36","1"
"14",340.27,"29","1"
"15",457.02,"36","1"
"16",362.06,"29","1"
"17",286.1,"22","1"
"18",277.61,"22","1"
"19",439.66,"36","1"
"20",418.7,"36","1"
"21",348.35,"29","1"
"22",421.38,"36","1"
"23",348.83,"29","1"
"24",351.01,"29","1"
"25",250.93,"22","1"
"26",362.12,"29","1"
"27",287.45,"22","1"
"28",354.9,"29","1"
"29",331.48,"29","1"
"30",456.61,"36","1"
"1",447.79,"36","2"
"2",414.78,"36","2"
"3",194.18,"15","2"
"4",385.24,"36","2"
"5",327.3,"29","2"
"6",293.71,"22","2"
"7",536.11,"43","2"
"8",425.21,"36","2"
"9",326.76,"29","2"
"10",341.1,"29","2"
"11",336.24,"29","2"
"12",504.01,"43","2"
"13",359.85,"29","2"
"14",339.36,"29","2"
"15",411.54,"36","2"
"16",348.56,"29","2"
"17",255.62,"22","2"
"18",271.37,"22","2"
"19",370.68,"29","2"
"20",408.86,"36","2"
"21",338.83,"29","2"
"22",432.53,"36","2"
"23",353.35,"29","2"
"24",334.4,"29","2"
"25",285.57,"22","2"
"26",360.12,"29","2"
"27",259.28,"22","2"
"28",416.86,"36","2"
"29",257.28,"22","2"
"30",433.19,"36","2"
"1",470.71,"36","3"
"2",417.77,"36","3"
"3",198.74,"15","3"
"4",361,"29","3"
"5",336.13,"29","3"
"6",341.96,"29","3"
"7",531.19,"43","3"
"8",423.84,"36","3"
"9",340.39,"29","3"
"10",352.74,"29","3"
"11",340.72,"29","3"
"12",489.96,"43","3"
"13",339.96,"29","3"
"14",371.66,"29","3"
"15",438.93,"36","3"
"16",366.96,"29","3"
"17",268.21,"22","3"
"18",321.78,"29","3"
"19",448.8,"36","3"
"20",412.8,"36","3"
"21",324.03,"29","3"
"22",416.71,"36","3"
"23",353.02,"29","3"
"24",342.91,"29","3"
"25",250.48,"22","3"
"26",350.25,"29","3"
"27",256.37,"22","3"
"28",367.76,"29","3"
"29",284.66,"22","3"
"30",427.75,"36","3"
"1",430.84,"36","4"
"2",378.14,"29","4"
"3",198.13,"15","4"
"4",347.77,"29","4"
"5",274.59,"22","4"
"6",352.3,"29","4"
"7",520.34,"43","4"
"8",400.41,"36","4"
"9",341.03,"29","4"
"10",358.62,"29","4"
"11",336.13,"29","4"
"12",517.2,"43","4"
"13",359.1,"29","4"
"14",378.34,"36","4"
"15",420.06,"36","4"
"16",279.37,"22","4"
"17",252,"22","4"
"18",334.75,"29","4"
"19",435.87,"36","4"
"20",373.38,"29","4"
"21",333.88,"29","4"
"22",430.18,"36","4"
"23",338.87,"29","4"
"24",333.39,"29","4"
"25",287.32,"22","4"
"26",321.56,"29","4"
"27",289.33,"22","4"
"28",367.14,"29","4"
"29",263.26,"22","4"
"30",430.93,"36","4"
"1",451.23,"36","5"
"2",370.96,"29","5"
"3",183.33,"15","5"
"4",338.2,"29","5"
"5",347.12,"29","5"
"6",355.28,"29","5"
"7",506.44,"43","5"
"8",366.06,"29","5"
"9",332.21,"29","5"
"10",388.82,"29","5"
"11",332.15,"29","5"
"12",490.9,"43","5"
"13",347.02,"29","5"
"14",408.96,"36","5"
"15",437.49,"36","5"
"16",338.79,"29","5"
"17",275.5,"22","5"
"18",292.19,"22","5"
"19",437.97,"36","5"
"20",383.59,"29","5"
"21",360.11,"29","5"
"22",439,"36","5"
"23",342.11,"29","5"
"24",331.58,"29","5"
"25",268.63,"22","5"
"26",350.07,"29","5"
"27",261.29,"22","5"
"28",344.89,"29","5"
"29",278.17,"22","5"
"30",436.01,"36","5"
"1",416.79,"36","6"
"2",423.63,"36","6"
"3",184.73,"15","6"
"4",380.5,"29","6"
"5",318.96,"29","6"
"6",319,"29","6"
"7",512.52,"43","6"
"8",366.61,"29","6"
"9",347.43,"29","6"
"10",340.7,"29","6"
"11",360.45,"29","6"
"12",518.42,"43","6"
"13",335.96,"29","6"
"14",370.81,"29","6"
"15",373.24,"29","6"
"16",333.76,"29","6"
"17",285.46,"22","6"
"18",341.04,"29","6"
"19",425.9,"36","6"
"20",353.47,"29","6"
"21",361.74,"29","6"
"22",451.94,"36","6"
"23",361.43,"29","6"
"24",339.65,"29","6"
"25",289.04,"22","6"
"26",327.61,"29","6"
"27",268.79,"22","6"
"28",344.82,"29","6"
"29",260.02,"22","6"
"30",409.76,"36","6"
"1",420.08,"36","7"
"2",420.58,"36","7"
"3",195.57,"15","7"
"4",359.03,"29","7"
"5",360.79,"29","7"
"6",340.52,"29","7"
"7",513.46,"43","7"
"8",430.49,"36","7"
"9",352.11,"29","7"
"10",351.29,"29","7"
"11",368.58,"29","7"
"12",450.26,"36","7"
"13",352.99,"29","7"
"14",350.15,"29","7"
"15",435.32,"36","7"
"16",289.14,"22","7"
"17",249.98,"22","7"
"18",280.23,"22","7"
"19",428.7,"36","7"
"20",418.62,"36","7"
"21",362.3,"29","7"
"22",444.97,"36","7"
"23",347.22,"29","7"
"24",360.74,"29","7"
"25",279.5,"22","7"
"26",377.9,"29","7"
"27",262.28,"22","7"
"28",378.96,"29","7"
"29",262.27,"22","7"
"30",431.35,"36","7"
"1",413.09,"36","8"
"2",432.31,"36","8"
"3",184.83,"15","8"
"4",352.52,"29","8"
"5",334.77,"29","8"
"6",350.73,"29","8"
"7",522.11,"43","8"
"8",423.24,"36","8"
"9",360.68,"29","8"
"10",350.97,"29","8"
"11",332.1,"29","8"
"12",463.63,"36","8"
"13",348.76,"29","8"
"14",395.68,"36","8"
"15",436.79,"36","8"
"16",272.87,"22","8"
"17",280.02,"22","8"
"18",265.13,"22","8"
"19",441.4,"36","8"
"20",395.87,"36","8"
"21",362.14,"29","8"
"22",455.48,"36","8"
"23",352.28,"29","8"
