"","variety","variety_ID","clone_ID","clone_num","year","bud_day","flow_day","ver_day","mat_day","notes","BB","FLOW","VER","MAT","review","DiffBudMat","DiffBudFlow","DiffFlowVer","DiffVerMat","DiffBudVer"
"1","Aramon_Noir","22","22Mpt1","",1958,"26/3/58","","","12/9/1958",NA,1958-03-26,NA,NA,1958-09-12,NA,170,NA,NA,NA,NA
"2","Aramon_Noir","22","22Mpt1","",1959,"21/3/59","","","14/9/59",NA,1959-03-21,NA,NA,1959-09-14,NA,177,NA,NA,NA,NA
"3","Aramon_Noir","22","22Mpt1","",1960,"9/3/1960","","","2/9/1961",NA,1960-03-09,NA,NA,1961-09-02,NA,542,NA,NA,NA,NA
"4","Aramon_Noir","22","22Mpt1","",1962,"5/4/1962","","","17/9/62",NA,1962-04-05,NA,NA,1962-09-17,NA,165,NA,NA,NA,NA
"5","Aramon_Noir","22","22Mpt1","",1963,"11/4/1963","","","23/9/63",NA,1963-04-11,NA,NA,1963-09-23,NA,165,NA,NA,NA,NA
"6","Aramon_Noir","22","22Mpt1","",1964,"1/4/1964","","","15/9/64",NA,1964-04-01,NA,NA,1964-09-15,NA,167,NA,NA,NA,NA
"7","Aramon_Noir","22","22Mpt1","",1965,"3/4/1965","","","20/9/65",NA,1965-04-03,NA,NA,1965-09-20,NA,170,NA,NA,NA,NA
"8","Aramon_Noir","22","22Mpt1","",1976,"","","2/8/1976","",NA,NA,NA,1976-08-02,NA,NA,NA,NA,NA,NA,NA
"9","Aramon_Noir","22","22Mpt1","",1977,"","","16/8/77","",NA,NA,NA,1977-08-16,NA,NA,NA,NA,NA,NA,NA
"10","Aramon_Noir","22","22Mpt1","",1978,"","","10/8/1978","",NA,NA,NA,1978-08-10,NA,NA,NA,NA,NA,NA,NA
"11","Aramon_Noir","22","22Mpt1","",1981,"26/3/81","","","",NA,1981-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aramon_Noir","22","22Mpt1","",1983,"22/3/83","","","",NA,1983-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Aramon_Noir","22","22Mpt1","",1986,"24/3/86","","","",NA,1986-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Aramon_Noir","22","22Mpt1","",1994,"","28/5/94","","",NA,NA,1994-05-28,NA,NA,NA,NA,NA,NA,NA,NA
"15","Aramon_Noir","22","22Mpt1","",1995,"","3/6/1995","","",NA,NA,1995-06-03,NA,NA,NA,NA,NA,NA,NA,NA
"16","Aramon_Noir","22","22Mpt1","",1996,"","3/6/1996","5/8/1996","",NA,NA,1996-06-03,1996-08-05,NA,NA,NA,NA,63,NA,NA
"17","Aramon_Noir","22","22Mpt1","",1997,"3/3/1997","17/5/97","4/8/1997","8/9/1997",NA,1997-03-03,1997-05-17,1997-08-04,1997-09-08,NA,189,75,79,35,154
"18","Aramon_Noir","22","22Mpt1","",1998,"18/3/98","27/5/98","4/8/1998","10/9/1998",NA,1998-03-18,1998-05-27,1998-08-04,1998-09-10,NA,176,70,69,37,139
"19","Aramon_Noir","22","22Mpt1","",1999,"17/3/99","27/5/99","10/8/1999","15/9/99",NA,1999-03-17,1999-05-27,1999-08-10,1999-09-15,NA,182,71,75,36,146
"20","Aramon_Noir","22","22Mpt1","",2000,"17/3/00","29/5/00","7/8/2000","18/9/00",NA,2000-03-17,2000-05-29,2000-08-07,2000-09-18,NA,185,73,70,42,143
"21","Aramon_Noir","22","22Mpt1","",2003,"17/3/03","30/5/03","8/8/2003","1/9/2003",NA,2003-03-17,2003-05-30,2003-08-08,2003-09-01,NA,168,74,70,24,144
"22","Aramon_Noir","22","22Mpt1","",2004,"16/3/04","7/6/2004","12/8/2004","24/8/04",NA,2004-03-16,2004-06-07,2004-08-12,2004-08-24,NA,161,83,66,12,149
"23","Aramon_Noir","22","22Mpt1","",2005,"1/4/2005","3/6/2005","11/8/2005","6/9/2005",NA,2005-04-01,2005-06-03,2005-08-11,2005-09-06,NA,158,63,69,26,132
"24","Aramon_Noir","22","22Mpt1","",2006,"21/3/06","26/3/06","8/8/2006","6/9/2006",NA,2006-03-21,2006-03-26,2006-08-08,2006-09-06,NA,169,5,135,29,140
"25","Aramon_Noir","22","22Mpt1","",2007,"8/3/2007","19/5/07","1/8/2007","29/8/07",NA,2007-03-08,2007-05-19,2007-08-01,2007-08-29,NA,174,72,74,28,146
"26","Aramon_Noir","22","22Mpt1","",2008,"1/3/2008","22/5/08","7/8/2008","28/8/08",NA,2008-03-01,2008-05-22,2008-08-07,2008-08-28,NA,180,82,77,21,159
"27","Aramon_Noir","22","22Mpt1","",2009,"10/3/2009","26/5/09","28/7/09","18/8/09",NA,2009-03-10,2009-05-26,2009-07-28,2009-08-18,NA,161,77,63,21,140
"28","Aramon_Noir","22","22Mpt2","",1956,"27/3/56","","","24/9/56",NA,1956-03-27,NA,NA,1956-09-24,NA,181,NA,NA,NA,NA
"29","Aramon_Noir","22","22Mpt2","",1957,"16/3/57","","","",NA,1957-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Aramon_Noir","22","22Mpt2","",1958,"26/3/58","","","10/9/1958",NA,1958-03-26,NA,NA,1958-09-10,NA,168,NA,NA,NA,NA
"31","Aramon_Noir","22","22Mpt2","",1959,"16/3/59","","","12/9/1959",NA,1959-03-16,NA,NA,1959-09-12,NA,180,NA,NA,NA,NA
"32","Aramon_Noir","22","22Mpt2","",1960,"16/3/60","","","5/9/1960",NA,1960-03-16,NA,NA,1960-09-05,NA,173,NA,NA,NA,NA
"33","Aramon_Noir","22","22Mpt2","",1976,"","","9/8/1976","",NA,NA,NA,1976-08-09,NA,NA,NA,NA,NA,NA,NA
"34","Aramon_Noir","22","22Mpt2","",1977,"","","17/8/77","",NA,NA,NA,1977-08-17,NA,NA,NA,NA,NA,NA,NA
"35","Aramon_Noir","22","22Mpt2","",1978,"","","16/8/78","",NA,NA,NA,1978-08-16,NA,NA,NA,NA,NA,NA,NA
"36","Aramon_Noir","22","22Mpt2","",1981,"22/3/81","","","",NA,1981-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Aramon_Noir","22","22Mpt2","",1983,"21/3/83","","","",NA,1983-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Aramon_Noir","22","22Mpt2","",1986,"24/3/86","8/6/1987","6/8/1987","",NA,1986-03-24,1987-06-08,1987-08-06,NA,NA,NA,441,59,NA,500
"39","Aramon_Noir","22","22Mpt2","",1988,"15/3/88","3/6/1988","5/8/1988","12/9/1988",NA,1988-03-15,1988-06-03,1988-08-05,1988-09-12,NA,181,80,63,38,143
"40","Aramon_Noir","22","22Mpt2","",1989,"","26/5/89","1/8/1989","",NA,NA,1989-05-26,1989-08-01,NA,NA,NA,NA,67,NA,NA
"41","Aramon_Noir","22","22Mpt2","",1990,"","24/5/90","30/7/90","",NA,NA,1990-05-24,1990-07-30,NA,NA,NA,NA,67,NA,NA
"42","Aramon_Noir","22","22Mpt2","",1991,"","6/6/1991","13/8/91","",NA,NA,1991-06-06,1991-08-13,NA,NA,NA,NA,68,NA,NA
"43","Aramon_Noir","22","22Mpt2","",1992,"","28/5/92","4/8/1992","",NA,NA,1992-05-28,1992-08-04,NA,NA,NA,NA,68,NA,NA
"44","Aramon_Noir","22","22Mpt2","",1994,"","26/5/94","1/8/1994","",NA,NA,1994-05-26,1994-08-01,NA,NA,NA,NA,67,NA,NA
"45","Aramon_Noir","22","22Mpt2","",1996,"","","5/8/1996","",NA,NA,NA,1996-08-05,NA,NA,NA,NA,NA,NA,NA
"46","Aramon_Noir","22","22Mpt2","",1997,"3/3/1997","17/5/97","4/8/1997","8/9/1997",NA,1997-03-03,1997-05-17,1997-08-04,1997-09-08,NA,189,75,79,35,154
"47","Aramon_Noir","22","22Mpt2","",1998,"17/3/98","27/5/98","4/8/1998","10/9/1998",NA,1998-03-17,1998-05-27,1998-08-04,1998-09-10,NA,177,71,69,37,140
"48","Aramon_Noir","22","22Mpt2","",1999,"18/3/99","27/5/99","9/8/1999","15/9/99",NA,1999-03-18,1999-05-27,1999-08-09,1999-09-15,NA,181,70,74,37,144
"49","Aramon_Noir","22","22Mpt2","",2000,"18/3/00","29/5/00","7/8/2000","4/9/2000",NA,2000-03-18,2000-05-29,2000-08-07,2000-09-04,NA,170,72,70,28,142
"50","Aramon_Noir","22","22Mpt2","",2001,"10/3/2001","27/5/01","6/8/2001","28/8/01",NA,2001-03-10,2001-05-27,2001-08-06,2001-08-28,NA,171,78,71,22,149
"51","Aramon_Noir","22","22Mpt2","",2002,"13/3/02","27/5/02","1/8/2002","30/8/02",NA,2002-03-13,2002-05-27,2002-08-01,2002-08-30,NA,170,75,66,29,141
"52","Aramon_Noir","22","22Mpt2","",2003,"24/3/03","30/5/03","5/8/2003","27/8/03",NA,2003-03-24,2003-05-30,2003-08-05,2003-08-27,NA,156,67,67,22,134
"53","Aramon_Noir","22","22Mpt2","",2004,"21/3/04","4/6/2004","12/8/2004","31/8/04",NA,2004-03-21,2004-06-04,2004-08-12,2004-08-31,NA,163,75,69,19,144
"54","Aramon_Noir","22","22Mpt2","",2005,"4/4/2005","3/6/2005","8/8/2005","6/9/2005",NA,2005-04-04,2005-06-03,2005-08-08,2005-09-06,NA,155,60,66,29,126
"55","Aramon_Noir","22","22Mpt2","",2006,"26/3/06","28/5/06","4/8/2006","6/9/2006",NA,2006-03-26,2006-05-28,2006-08-04,2006-09-06,NA,164,63,68,33,131
"56","Aramon_Noir","22","22Mpt2","",2007,"7/3/2007","19/5/07","24/7/07","29/8/07",NA,2007-03-07,2007-05-19,2007-07-24,2007-08-29,NA,175,73,66,36,139
