"year","lat.lon","lo","tempadj","gdd","site"
1951,"48.4333 10.4167",120,5.27557365257354,321.809992806986,1
1951,"48.5833 12.1833",111,5.1780326711472,315.859992939979,2
1951,"48.7167 9.21667",110,5.59983594040768,341.589992364868,3
1951,"48.8333 12.9667",110,4.85377038331305,296.079993382096,4
1951,"48.8833 12.6",117,5.71540970831621,348.639992207289,5
1951,"49.1667 11.45",111,4.87852448112041,297.589993348345,6
1951,"49.3333 10.8",115,5.14999988488853,314.1499929782,7
1951,"49.4 11.4",115,5.0301638219933,306.839993141591,8
1951,"49.45 10.3167",144,4.93180316845413,300.839993275702,9
1951,"49.4667 9.58333",116,5.45377036990201,332.679992564022,10
1951,"49.7167 10.2167",113,5.7319670849953,349.649992184713,11
1951,"49.95 11.1667",121,5.0467211986724,307.849993119016,12
1951,"50 8.71667",109,6.59540968864667,402.319991007447,13
1951,"50.3 10.4667",124,4.82196710533539,294.139993425459,14
1951,"50.4167 10.3833",110,4.82196710533539,294.139993425459,15
1951,"50.5167 8.81667",109,4.85098349812945,295.909993385896,16
1951,"52.4 9.45",143,5.21114742450538,317.879992894828,17
1952,"48.4333 10.4167",117,6.86377033838605,418.689990641549,1
1952,"48.5833 12.1833",108,6.49770477279777,396.359991140664,2
1952,"48.7167 9.21667",99,7.48704901297928,456.709989791736,3
1952,"48.8333 12.9667",111,5.90065560581498,359.939991954714,4
1952,"48.8833 12.6",107,6.90655722267559,421.299990583211,5
1952,"49.1667 11.45",108,6.51540969043482,397.439991116524,6
1952,"49.3333 10.8",112,6.87049164971123,419.099990632385,7
1952,"49.4 11.4",109,6.70524575176542,409.01999085769,8
1952,"49.45 10.3167",108,6.79163919245732,414.289990739897,9
1952,"49.4667 9.58333",103,7.3655736058584,449.299989957363,10
1952,"49.7167 10.2167",104,7.52295065152108,458.899989742786,11
1952,"49.95 11.1667",111,6.72147525959938,410.009990835562,12
1952,"50 8.71667",103,8.71704898548663,531.739988114685,13
1952,"50.3 10.4667",127,6.96967197536323,425.149990497157,14
1952,"50.4167 10.3833",109,6.96967197536323,425.149990497157,15
1952,"50.5167 8.81667",106,7.10836049685346,433.609990308061,16
1952,"52.4 9.45",106,7.02475394134517,428.509990422055,17
1953,"48.4333 10.4167",125,6.76819657003049,412.85999077186,1
1953,"48.5833 12.1833",111,6.54868837821557,399.46999107115,2
1953,"48.7167 9.21667",94,7.42540967009473,452.949989875778,3
1953,"48.8333 12.9667",93,6.30032772802916,384.319991409778,4
1953,"48.8833 12.6",100,7.27459000133467,443.749990081415,5
1953,"49.1667 11.45",100,6.71540968596447,409.639990843832,6
1953,"49.3333 10.8",103,7.05081951453305,430.099990386516,7
1953,"49.4 11.4",96,7.18049164278219,438.009990209713,8
1953,"49.45 10.3167",93,6.99442607317059,426.659990463406,9
1953,"49.4667 9.58333",93,7.1795080362468,437.949990211055,10
1953,"49.7167 10.2167",101,7.643278517684,466.239989578724,11
1953,"49.95 11.1667",116,7.24032770701852,441.65999012813,12
1953,"50 8.71667",93,8.72934406717903,532.489988097921,13
1953,"50.3 10.4667",130,7.22131131400095,440.499990154058,14
1953,"50.4167 10.3833",99,7.22131131400095,440.499990154058,15
1953,"50.5167 8.81667",92,7.38639327752419,450.569989928976,16
1953,"52.4 9.45",98,7.03163918709291,428.929990412667,17
1954,"48.4333 10.4167",128,5.12819660668735,312.819993007928,1
1954,"48.5833 12.1833",119,5.22262283408495,318.579992879182,2
1954,"48.7167 9.21667",118,5.61868839900269,342.739992339164,3
1954,"48.8333 12.9667",118,4.84245890815605,295.389993397519,4
1954,"48.8833 12.6",114,5.92065560536795,361.159991927445,5
1954,"49.1667 11.45",121,4.92836054558026,300.629993280396,6
1954,"49.3333 10.8",124,5.36442610960392,327.229992685839,7
1954,"49.4 11.4",126,5.05344250999758,308.259993109852,8
1954,"49.45 10.3167",117,5.13540972128022,313.259992998093,9
1954,"49.4667 9.58333",124,5.74491790437796,350.439992167056,10
1954,"49.7167 10.2167",118,6.06327855299975,369.859991732985,11
1954,"49.95 11.1667",119,5.14327857356335,313.739992987365,12
1954,"50 8.71667",113,7.46213098074936,455.189989825711,13
1954,"50.3 10.4667",134,5.23819660422866,319.529992857948,14
1954,"50.4167 10.3833",120,5.23819660422866,319.529992857948,15
1954,"50.5167 8.81667",119,5.79491790326037,353.489992098883,16
1954,"52.4 9.45",125,5.29475398001368,322.979992780834,17
1955,"48.4333 10.4167",117,4.64442612569718,283.309993667528,1
1955,"48.5833 12.1833",121,4.27377039627706,260.699994172901,2
1955,"48.7167 9.21667",118,5.04737693636266,307.889993118122,3
1955,"48.8333 12.9667",122,3.6870490979159,224.90999497287,4
1955,"48.8833 12.6",121,4.6296720276663,282.409993687645,5
1955,"49.1667 11.45",120,4.3090162971286,262.849994124845,6
1955,"49.3333 10.8",121,4.622622847496,281.979993697256,7
1955,"49.4 11.4",124,4.39459006570768,268.069994008169,8
1955,"49.45 10.3167",120,4.48655727676681,273.679993882775,9
1955,"49.4667 9.58333",122,4.95901628259997,302.499993238598,10
1955,"49.7167 10.2167",118,5.33114742182317,325.199992731214,11
1955,"49.95 11.1667",121,4.36688514829415,266.379994045943,12
1955,"50 8.71667",118,6.26622936813558,382.23999145627,13
1955,"50.3 10.4667",138,4.51278678437725,275.279993847013,14
1955,"50.4167 10.3833",122,4.51278678437725,275.279993847013,15
1955,"50.5167 8.81667",120,4.75081956594205,289.799993522465,16
1955,"52.4 9.45",122,4.729344156586,288.489993551746,17
1956,"48.4333 10.4167",130,4.97688513465959,303.589993214235,1
1956,"48.5833 12.1833",120,4.7454097299974,289.469993529841,2
1956,"48.7167 9.21667",115,5.4108195511899,330.059992622584,3
1956,"48.8333 12.9667",116,4.36163924677206,266.059994053096,4
1956,"48.8833 12.6",110,5.1024589023446,311.24999304302,5
1956,"49.1667 11.45",126,4.40606547528725,268.769993992522,6
1956,"49.3333 10.8",128,4.66901628908198,284.809993634,7
1956,"49.4 11.4",128,4.37065564001315,266.609994040802,8
1956,"49.45 10.3167",112,4.56393432421762,278.399993777275,9
1956,"49.4667 9.58333",123,5.29508184885881,322.999992780387,10
1956,"49.7167 10.2167",115,5.34409824120583,325.989992713556,11
1956,"49.95 11.1667",124,4.24377039694762,258.869994213805,12
1956,"50 8.71667",115,6.70999985001981,409.309990851209,13
1956,"50.3 10.4667",136,4.8011474336696,292.869993453845,14
1956,"50.4167 10.3833",123,4.8011474336696,292.869993453845,15
1956,"50.5167 8.81667",115,5.12475398381348,312.609993012622,16
1956,"52.4 9.45",124,4.36065564023667,265.999994054437,17
1957,"48.4333 10.4167",117,7.07803262867889,431.759990349412,1
1957,"48.5833 12.1833",104,6.98688508973259,426.199990473688,2
1957,"48.7167 9.21667",86,7.86704900448562,479.889989273623,3
1957,"48.8333 12.9667",98,6.55590149280844,399.909991061315,4
1957,"48.8833 12.6",105,7.41360639167003,452.229989891872,5
1957,"49.1667 11.45",109,6.70032771908846,408.719990864396,6
1957,"49.3333 10.8",118,7.11065557876938,433.749990304932,7
1957,"49.4 11.4",113,6.92557361569317,422.459990557283,8
1957,"49.45 10.3167",105,6.93327853355373,422.929990546778,9
1957,"49.4667 9.58333",108,7.27606541113775,443.839990079403,10
1957,"49.7167 10.2167",103,7.71573753245785,470.659989479929,11
1957,"49.95 11.1667",114,6.8663932891471,418.849990637973,12
1957,"50 8.71667",98,8.95508176705144,546.259987790138,13
1957,"50.3 10.4667",123,7.31245885294725,446.059990029782,14
1957,"50.4167 10.3833",112,7.31245885294725,446.059990029782,15
1957,"50.5167 8.81667",96,7.48672114413415,456.689989792183,16
1957,"52.4 9.45",106,7.35983590106862,448.949989965186,17
1958,"48.4333 10.4167",124,3.35573762991145,204.699995424598,1
1958,"48.5833 12.1833",120,3.27770484477037,199.939995530993,2
1958,"48.7167 9.21667",122,3.70786876958169,226.179994944483,3
1958,"48.8333 12.9667",125,2.84934419860727,173.809996115044,4
1958,"48.8833 12.6",118,3.62393434522826,221.059995058924,5
1958,"49.1667 11.45",127,3.11459009431791,189.989995753393,6
1958,"49.3333 10.8",130,3.43737697234896,209.679995313287,7
1958,"49.4 11.4",125,3.09721304552599,188.929995777085,8
1958,"49.45 10.3167",127,3.17901632238607,193.91999566555,9
1958,"49.4667 9.58333",123,3.63163926308883,221.529995048419,10
1958,"49.7167 10.2167",123,3.83573761918261,233.979994770139,11
1958,"49.95 11.1667",124,3.13377042175805,191.159995727241,12
1958,"50 8.71667",120,4.71819661585156,287.809993566945,13
1958,"50.3 10.4667",134,3.48459008604777,212.559995248914,14
1958,"50.4167 10.3833",123,3.48459008604777,212.559995248914,15
1958,"50.5167 8.81667",112,3.60803270623943,220.089995080605,16
1958,"52.4 9.45",123,3.51147533134847,214.199995212257,17
1959,"48.4333 10.4167",121,7.47163917725814,455.769989812747,1
1959,"48.5833 12.1833",95,7.19032770813611,438.609990196302,2
1959,"48.7167 9.21667",95,8.20655719361833,500.599988810718,3
1959,"48.8333 12.9667",96,6.90081951788581,420.949990591034,4
1959,"48.8833 12.6",95,7.91950801970651,483.089989202097,5
1959,"49.1667 11.45",102,7.45032770232466,454.469989841804,6
1959,"49.3333 10.8",105,7.70672113921677,470.109989492223,7
1959,"49.4 11.4",104,7.80032769450155,475.819989364594,8
1959,"49.45 10.3167",102,7.56508179812036,461.469989685342,9
1959,"49.4667 9.58333",105,8.06508178694449,491.969989003614,10
1959,"49.7167 10.2167",104,8.46934407299049,516.62998845242,11
1959,"49.95 11.1667",105,7.70180310653981,469.809989498928,12
1959,"50 8.71667",103,9.06770471535379,553.129987636581,13
1959,"50.3 10.4667",104,8.27868833954705,504.99998871237,14
1959,"50.4167 10.3833",105,8.27868833954705,504.99998871237,15
1959,"50.5167 8.81667",96,8.28885227374611,505.619988698512,16
1959,"52.4 9.45",106,8.23311457007391,502.219988774508,17
1960,"48.4333 10.4167",120,6.18622936992372,377.359991565347,1
1960,"48.5833 12.1833",100,6.05442609418122,369.319991745055,2
1960,"48.7167 9.21667",98,6.91393427169103,421.749990573153,3
1960,"48.8333 12.9667",102,5.55999987572432,339.159992419183,4
1960,"48.8833 12.6",100,6.50803264141938,396.989991126582,5
1960,"49.1667 11.45",106,5.97983593191402,364.769991846755,6
